year,inflation_rate,gdp_growth,school_enrollment,SE.PRM.NENR.FE,SE.PRM.NENR.MA,child_mortality_u5,SH.DYN.MORT.FE,SH.DYN.MORT.MA,poverty_rate,gini_index,unemployment_rate,sanction_active,sanction_duration,sanction_intensity_index,regime_score,conflict_incidence,conflict_intensity,oil_exports,pharma_imports,fuel_imports,school_enrollment_gap,child_mortality_gap,total_trade_exposure,sanction_x_regime,sanction_x_conflict,inflation_rate_lag1,gdp_growth_lag1,poverty_rate_lag1,unemployment_rate_lag1,child_mortality_u5_lag1,sanction_intensity_index_lag1,gdp_growth_change,inflation_rate_change,poverty_rate_change,unemployment_rate_change,log_oil_exports,log_pharma_imports,log_fuel_imports,log_total_trade_exposure,sanction_type_none,sanction_type_targeted,sanction_type_trade,sanction_status_sanctioned
1995,3.36139107320899,2.54714368704694,97.82877,98.47424,97.20058,,,,,,,0.0,0.0,0.0,,,,0.0,27909151.0,0.0,1.2736599999999925,,27909151.0,,,,,,,,,,,,,0.0,17.144465221675787,0.0,17.144465221675787,True,False,False,False
1996,3.22528797213979,1.18578851134656,97.82877,98.47424,97.20058,,,,,,,0.0,0.0,0.0,,,,0.0,27909151.0,0.0,1.2736599999999925,,27909151.0,,,3.36139107320899,2.54714368704694,,,,0.0,-1.36135517570038,-0.13610310106920043,,,0.0,17.144465221675787,0.0,17.144465221675787,True,False,False,False
1997,2.99994809778412,7.04687499241221,97.82877,98.47424,97.20058,,,,,,,0.0,0.0,0.0,,,,0.0,27909151.0,0.0,1.2736599999999925,,27909151.0,,,3.22528797213979,1.18578851134656,,,,0.0,5.86108648106565,-0.2253398743556696,,,0.0,17.144465221675787,0.0,17.144465221675787,True,False,False,False
1998,1.86948853615541,1.99198444906199,97.82877,98.47424,97.20058,,,,,,,0.0,0.0,0.0,,,,0.0,27909151.0,0.0,1.2736599999999925,,27909151.0,,,2.99994809778412,7.04687499241221,,,,0.0,-5.05489054335022,-1.13045956162871,,,0.0,17.144465221675787,0.0,17.144465221675787,True,False,False,False
1999,2.28037198258753,1.2380418420716,97.82877,98.47424,97.20058,,,,,,,0.0,0.0,0.0,,,,0.0,27909151.0,0.0,1.2736599999999925,,27909151.0,,,1.86948853615541,1.99198444906199,,,,0.0,-0.7539426069903901,0.41088344643212005,,,0.0,17.144465221675787,0.0,17.144465221675787,True,False,False,False
2000,4.04402131190513,7.62292064930222,98.08635,97.82293,98.34398,,,,,,,0.0,0.0,0.0,,,,0.0,27909151.0,0.0,-0.5210500000000025,,27909151.0,,,2.28037198258753,1.2380418420716,,,,0.0,6.38487880723062,1.7636493293175999,,,0.0,17.144465221675787,0.0,17.144465221675787,True,False,False,False
2001,2.88360430316264,4.1820016304779,94.53929,96.21522,97.18049500000001,,,,,,,0.0,0.0,0.0,,,,0.0,22397910.0,0.0,-0.9652750000000054,,22397910.0,,,4.04402131190513,7.62292064930222,,,,0.0,-3.44091901882432,-1.16041700874249,,,0.0,16.92447825354781,0.0,16.92447825354781,True,False,False,False
2002,3.31524678585423,-0.944953481157384,95.31814,94.60751,96.01701,,,,,,,0.0,0.0,0.0,,,,0.0,22597636.0,0.0,-1.4094999999999942,,22597636.0,,,2.88360430316264,4.1820016304779,,,,0.0,-5.126955111635284,0.4316424826915899,,,0.0,16.933355901253872,0.0,16.933355901253872,True,False,False,False
2003,3.65636507938418,1.11050459944282,93.9307,92.74784,95.10213,,,,,,,0.0,0.0,0.0,,,,0.0,24511832.0,0.0,-2.354290000000006,,24511832.0,,,3.31524678585423,-0.944953481157384,,,,0.0,2.055458080600204,0.3411182935299504,,,0.0,17.01466653850969,0.0,17.01466653850969,True,False,False,False
2004,2.52912946932762,7.29372807096192,94.63489,92.99585,96.26574,,,,,,,0.0,0.0,0.0,,,,0.0,25919284.0,0.0,-3.2698899999999895,,25919284.0,,,3.65636507938418,1.11050459944282,,,,0.0,6.183223471519099,-1.1272356100565601,,,0.0,17.070497844191337,0.0,17.070497844191337,True,False,False,False
